Regulator Name	Regulator Type	Regulator Subtype	Regulator HGNC Symbol	Regulator Database	Regulator ID	Regulator Compartment	Regulator Compartment ID	Regulated Name	Regulated Type	Regulated Subtype	Regulated HGNC Symbol	Regulated Database	Regulated ID	Regulated Compartment	Regulated Compartment ID	Sign	Connection Type	Mechanism	Site	Cell Line	Cell Type	Tissue Type	Organism	Score	Source	Statements	Paper IDs	
CD4	Protein				P01730	Other	sl-0431	immunity	Biological Process			go	GO:0006955	Other	sl-0431	positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0001063 ++++ mesh:D015496 ++++ cl:CL:0000623 ++++ mesh:D018414 ++++ cl:CL:0001064 ++++ cl:CL:0000084					CD4 T cells can mediate antitumor immunity against MHC Class II negative cancer cells by regulating CD8 T-cell effector functions.36 38 In the context of NKG2D CAR expressing T-cell transfer , the depletion of CD4 cells impaired IFN γ production by host CD8 T cells indicating that CD4 T-cell help is crucial for the acquisition of optimal effector functions by host CD8 T cells . ++++ CD4 T cells can mediate antitumor immunity against MHC Class II negative cancer cells by regulating CD8 T-cell effector functions.36 38 In the context of NKG2D CAR expressing T-cell transfer , the depletion of CD4 cells impaired IFN γ production by host CD8 T cells indicating that CD4 T-cell help is crucial for the acquisition of optimal effector functions by host CD8 T cells .	PMC3654581	
CD4	Protein				P01730			immunity	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0001064 ++++ mesh:D018414 ++++ cl:CL:0001063		uberon:UBERON:4300023			However , CD4 CAR-T cells may contribute to antitumor immunity by several other mechanisms .	PMC10288912	
CD4	Protein				P01730			immunity	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000037 ++++ cl:CL:0000084					Our HLA independent , CD4 based HSC derived CAR therapy could provide a long term , enhanced anti-HIV-1 immunity that is also resistant to HIV-1 immune evasion .	PMC8016106	
GM-CSF	Protein				P04141			immunity	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0000576 ++++ cl:CL:0000763					GM-CSF has been used to support myelopoiesis and promote anti-tumor immunity as a stand-alone monotherapy and also to complement various immunotherapeutic approaches ( 108 ) .	PMC6540944	
GM-CSF	Protein				P04141			immune response	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000738 ++++ cl:CL:0000988 ++++ cl:CL:0000234 ++++ uaz:UAZ54C2A063656C6C ++++ cl:CL:0000576 ++++ cl:CL:0000763		uberon:UBERON:0002405 ++++ uberon:UBERON:0000178 ++++ uberon:UBERON:0002107			Elevated IL-15 and especially reduced GM-CSF around day 17 underline an ongoing immune response of the innate immune system .	PMC9249670	
CD7	Protein				P09564			immunity	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000037 ++++ cl:CL:0000084 ++++ cl:CL:0000623					CD7 deleted hematopoietic stem cells can restore immunity after CAR T cell therapy .	PMC8410010	
CTLA-4	Protein				P16410			immune response	Biological Process			go	GO:0006955			negative	I	NONE			mesh:D018414 ++++ cl:CL:0000815 ++++ cl:CL:0000084					Another suppressing marker that is expressed in effector Treg cells is CTLA-4 ( cytotoxic T-lymphocyte-associated protein 4 ) , which is known to block immune response and decrease the efficacy of CAR-T in pre-clinical studies [ 42 ] .	PMC4810120	
Cytotoxic T-lymphocyte-associated protein 4	Protein				P16410			immune response	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0001064 ++++ cl:CL:0000499 ++++ cl:CL:0001063 ++++ cl:CL:0000084		uberon:UBERON:0002113 ++++ uberon:UBERON:0018707 ++++ uberon:UBERON:0002048			In autoimmune disease , Programmed Cell Death 1 ( PD-1 ) , PD-1 ligand ( PD-L1 ) , and Cytotoxic T-lymphocyte-associated protein 4 ( CTLA-4 ) are now well recognized as co-inhibitory molecules able to brake and modulate the immune response . ++++ In autoimmune disease , Programmed Cell Death 1 ( PD-1 ) , PD-1 ligand ( PD-L1 ) , and Cytotoxic T-lymphocyte-associated protein 4 ( CTLA-4 ) are now well recognized as co-inhibitory molecules able to brake and modulate the immune response .	PMC7727716	
CTLA-4	Protein				P16410			immunity	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000084		uberon:UBERON:2001058			CTLA-4 tail fusion enhances CAR-T anti-tumor immunity .	PMC10055096	
HLA-G	Protein				P17693			immunity	Biological Process			go	GO:0006955			negative	I	NONE		cellosaurus:CVCL_M543 ++++ uaz:UA-CLine-5317	cl:CL:0000235 ++++ cl:CL:0000738 ++++ cl:CL:0000623 ++++ cl:CL:0000451 ++++ cl:CL:0000084		uberon:UBERON:2005032 ++++ uberon:UBERON:0001987 ++++ uberon:UBERON:0002106 ++++ uberon:UBERON:0002370			Thus , another possibility is that the HLA-G CAR-NK may also eliminate these immunosuppressive cells to enhance antitumor immunity in patients .	PMC8524382	
HLA-G	Protein				P17693			immunity	Biological Process			go	GO:0006955			positive	I	NONE		cellosaurus:CVCL_M543 ++++ uaz:UA-CLine-5317	cl:CL:0000235 ++++ cl:CL:0000738 ++++ cl:CL:0000623 ++++ cl:CL:0000451 ++++ cl:CL:0000084		uberon:UBERON:2005032 ++++ uberon:UBERON:0001987 ++++ uberon:UBERON:0002106 ++++ uberon:UBERON:0002370			Thus , another possibility is that the HLA-G CAR-NK may also eliminate these immunosuppressive cells to enhance antitumor immunity in patients .	PMC8524382	
CD70	Protein				P32970	Other	sl-0310	immune response	Biological Process			go	GO:0006955	Other	sl-0310	positive	I	NONE		uaz:UA-CLine-5317 ++++ cellosaurus:CVCL_0047						From the literature , CD70 seems to have a confounding role in cancer , both stimulating and suppressing immune response in various cancers.96 104 With this in mind , we sought not only to validate CD70 as a therapeutic target in GBM , but also to better understand its role in GBM cell maintenance and progression , as well as the TIME .	PMC8753449	
IL-15	Protein				P40933			immune response	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000738 ++++ cl:CL:0000988 ++++ cl:CL:0000234 ++++ uaz:UAZ54C2A063656C6C ++++ cl:CL:0000576 ++++ cl:CL:0000763		uberon:UBERON:0002405 ++++ uberon:UBERON:0000178 ++++ uberon:UBERON:0002107			Elevated IL-15 and especially reduced GM-CSF around day 17 underline an ongoing immune response of the innate immune system .	PMC9249670	
OX40	Protein				P43489			immunity	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0002419 ++++ mesh:D018414 ++++ cl:CL:0000910 ++++ cl:CL:0000813 ++++ cl:CL:0000784		uberon:UBERON:0000105 ++++ uberon:UBERON:0002391			More recently , OX40 positive plasmacytoid DCs ( major producers of IFN-I ) were discovered to promote anti-tumour immunity in the TME [ 238 ] .	PMC7408985	
OX40	Protein				P43489			immune response	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000084					Therefore , there is great interest in co-stimulatory molecules expressed on T cells of the patients e.g ., : CD28 , ICOS , CD27 , 4-1BB , OX40 and CD40L , which may enhance immune response [ 71 ] .	PMC7215892	
TIL	Protein				Q15399			immune response	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0001064 ++++ cl:CL:0000738					Successful TIL therapy relies on tumors to elicit an endogenous immune response , and this approach may therefore be less suitable for immunologically “ cold ” tumors with low numbers of infiltrating immune cells [ 4,5 ] .	PMC6562702	
B7H3	Protein				Q5ZPR3			immune response	Biological Process			go	GO:0006955			negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0001063 ++++ cl:CL:0000499 ++++ cl:CL:0000057					Previous studies showed that B7H3 mediates the inhibition of the tumor antigen ‐ specific immune response and participates in tumor progression or escape [ 14 , 15 , 16 , 17 ] .	PMC10354409	
PD-L2	Protein				Q9BQ51			immune response	Biological Process			go	GO:0006955			negative	I	NONE			cl:CL:0000084 ++++ mesh:D018414 ++++ cl:CL:0000738					Programed cell death 1 ( PD-1 ) , predominantly functioning through CD8 immune modulation by binding its ligands PD-L1 ( B7-H1 ) and PD-L2 ( B7-DC ) , reduces T cell proliferation and promotes an evasion of the immune response ( Sgambato et al ., 2017 ) . ++++ Programed cell death 1 ( PD-1 ) , predominantly functioning through CD8 immune modulation by binding its ligands PD-L1 ( B7-H1 ) and PD-L2 ( B7-DC ) , reduces T cell proliferation and promotes an evasion of the immune response ( Sgambato et al ., 2017 ) .	PMC5837988	
immune surveillance	Biological Process				GO:0006955	Other	sl-0431	PD-L1	Protein			uniprot	Q9NZQ7	Other	sl-0431	positive	I	NONE			cl:CL:0001063 ++++ cl:CL:0000084					Therefore , targeting PD-1 / PD-L1 signaling can enhance the capacity of activated T cells to recognize and kill tumor cells and subsequently , restore the function of host immune surveillance , by the activation of PI3K / Akt and Ras/MEK/Erk signaling pathways ( Figure 1 ) [ 19 , 20 ] .	PMC6109480	
PD-L1	Protein				Q9NZQ7			immune response	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000084 ++++ mesh:D018414 ++++ cl:CL:0000738					Programed cell death 1 ( PD-1 ) , predominantly functioning through CD8 immune modulation by binding its ligands PD-L1 ( B7-H1 ) and PD-L2 ( B7-DC ) , reduces T cell proliferation and promotes an evasion of the immune response ( Sgambato et al ., 2017 ) . ++++ Programed cell death 1 ( PD-1 ) , predominantly functioning through CD8 immune modulation by binding its ligands PD-L1 ( B7-H1 ) and PD-L2 ( B7-DC ) , reduces T cell proliferation and promotes an evasion of the immune response ( Sgambato et al ., 2017 ) .	PMC5837988	
PD-L1	Protein				Q9NZQ7			immune response	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0001064 ++++ cl:CL:0000499 ++++ cl:CL:0001063 ++++ cl:CL:0000084		uberon:UBERON:0002113 ++++ uberon:UBERON:0018707 ++++ uberon:UBERON:0002048			In autoimmune disease , Programmed Cell Death 1 ( PD-1 ) , PD-1 ligand ( PD-L1 ) , and Cytotoxic T-lymphocyte-associated protein 4 ( CTLA-4 ) are now well recognized as co-inhibitory molecules able to brake and modulate the immune response .	PMC7727716	
PD-L1	Protein				Q9NZQ7	Other	sl-0431	immune response	Biological Process			go	GO:0006955	Other	sl-0431	negative	I	NONE			cl:CL:0001063 ++++ cl:CL:0000084		uberon:UBERON:0000310 ++++ uberon:UBERON:0001155 ++++ uberon:UBERON:0002048			Moreover , tumor associated PD-L1 inhibits the antitumor response by engaging with PD-1 expressed on T cells , and the blockade of PD-L1 or PD-1 can restore the host antitumor immune response [ 17 ] .	PMC7607631	
PD-L1	Protein				Q9NZQ7			immune response	Biological Process			go	GO:0006955			negative	I	NONE			cl:CL:0000084					The PD-1 / PD-L1 pathway downregulates anti-tumor immune response , inhibits T cell cytotoxicity in the TME , and mediated T cell exhaustion [ 23 ] .	PMC9961031	
SUSD2	Protein				Q9UGT4			immunity	Biological Process			go	GO:0006955			negative	I	NONE			mesh:D018414					SUSD2 suppresses CD8 + T cell antitumor immunity by targeting IL-2 receptor signaling .	PMC9669207	
ICOS	Protein				Q9Y6W8			immune response	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000084					Therefore , there is great interest in co-stimulatory molecules expressed on T cells of the patients e.g ., : CD28 , ICOS , CD27 , 4-1BB , OX40 and CD40L , which may enhance immune response [ 71 ] .	PMC7215892	
CS1	Protein				O94985			cell adhesion	Biological Process			go	GO:0007155			negative	I	NONE			cl:CL:0000236 ++++ cl:CL:0010001 ++++ cl:CL:0000738 ++++ cl:CL:0000623 ++++ cl:CL:0000786 ++++ cl:CL:0000084 ++++ cl:CL:0000037 ++++ cl:CL:0000034 ++++ cl:CL:0000763					Targeting CS1 with the humanized IgG1 monoclonal antibody ( mAb ) , Elotuzumab ( formerly Huluc63 ) , can inhibit myeloma cell adhesion to BMSC , induce NK cell mediated antibody dependent cellular cytotoxicity ( ADCC ) , and promote NK cell activation without killing autologous NK cells despite low levels of CS1 expression on the surface of normal NK cells .	PMC3967004	
LFA-1	Protein				P05107			Adhesion	Biological Process			go	GO:0007155			positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0000912 ++++ cl:CL:0000451 ++++ cl:CL:0000545 ++++ cl:CL:0000899 ++++ cl:CL:0000084 ++++ cl:CL:0000546		uberon:UBERON:0002391			Adhesion is mediated by LFA-1 and other integrins and is of central importance to T-cell responses .	PMC8005572	
LFA-1	Protein				P05107	Other	sl-0431	adhesion	Biological Process			go	GO:0007155	Other	sl-0431	positive	I	NONE					uberon:UBERON:0002370			Thus , LFA-1 promotes ligand-nonspecific adhesion between T-hybridomas and stimulator cells that is necessary for cell bound TCRs to subsequently engage their cell bound ligands , but LFA-1 is not required for TCRs to engage any cell-free ligands – including recombinant ICAM-2 ( CD102 ) for which TCR-146 has higher binding affinity than LFA-1 ( 28 ) .	PMC7308553	
ICAM1	Protein				P05362			cell adhesion	Biological Process			go	GO:0007155			negative	I	NONE		cellosaurus:CVCL_2142	cl:CL:0000084					Taken together , we can assert that the decrease of ICAM1 mediated cell adhesion impacted bryostatin induced killing by all three effectors tested , but impacted NK92 mediated killing less .	PMC8864095	
SLAMF7	Protein				Q9NQ25			adhesion	Biological Process			go	GO:0007155			positive	I	NONE			cl:CL:0000786 ++++ cl:CL:0000499 ++++ cl:CL:0000815 ++++ cl:CL:0000623					Furthermore , SLAMF7 promotes the adhesion of plasma cells to BM stromal cells to support survival and proliferation of MM cells in the BM ; conversely , an antagonistic anti-SLAMF7 MoAb prevents MM cells from adhesion to BMSCs and induces ADCC to lyse MM cells [ 24,59 ] .	PMC8657018	
APRIL	Protein				O75888			signal transduction	Biological Process			go	GO:0007165			positive	I	NONE			cl:CL:0000499 ++++ cl:CL:0000236 ++++ cl:CL:0000786 ++++ cl:CL:0000084					In line with the crucial roles of BAFF and APRIL in MM , BCMA and TACI were found to be highly expressed on MM cells and mediate the signal transduction triggered by BAFF and APRIL to support MM growth and survival [ 14 , 15 ] .	PMC9237814	
APRIL	Protein				O75888			signaling pathway	Biological Process			go	GO:0007165			negative	I	NONE			cl:CL:0000235 ++++ cl:CL:0000092 ++++ cl:CL:0000815 ++++ cl:CL:0000763 ++++ cl:CL:0000784					The 01A antibody can reduce APRIL induced MM cell adhesion and migration through blocking NF-κ B signaling pathway .	PMC7226350	
ERBB2	Protein				P04626			signal transduction	Biological Process			go	GO:0007165			positive	I	NONE								HER2 ( ERBB2 ) mediates its signal transduction via MAPK and PI3K pathways . ++++ HER2 ( ERBB2 ) mediates its signal transduction via MAPK and PI3K pathways .	PMC10014562	
HER2	Protein				P04626	Other	sl-0310 ++++ uniprot:sl-0487	signal transduction	Biological Process			go	GO:0007165	Other	sl-0310 ++++ uniprot:sl-0487	positive	I	NONE			cl:CL:0001063 ++++ cl:CL:0002092 ++++ cl:CL:0000235		uberon:UBERON:0002371			After sorting , the luciferase- and mCherry positive murine cell lines were further transduced with lentivirus encoding a truncated human HER2 gene that was expressed on the cell surface but was unable to drive intercellular signal transduction .	PMC10044396	
CD38	Protein				P28907			signal transduction	Biological Process			go	GO:0007165			positive	I	NONE			cl:CL:0000623 ++++ cl:CL:0000084 ++++ cl:CL:0000988 ++++ cl:CL:0000236		uberon:UBERON:0000014			CD38 , a transmembrane glycoprotein , is known to mediate cell adhesion , signal transduction , and Ca regulation ( 63 ) .	PMC9814974	
CD70	Protein				P32970	Other	sl-0310	signal transduction pathways	Biological Process			go	GO:0007165	Other	sl-0310	positive	I	NONE			cl:CL:0000623 ++++ cl:CL:0000084					CD70 promotes cell survival and invasiveness , and stimulation of CD70 triggers signal transduction pathways known to be re-activated with acquired TKI resistance .	PMC10259078	
CAR	Protein				P36575			signaling pathway	Biological Process			go	GO:0007165			positive	I	NONE			cl:CL:0000084 ++++ mesh:D015496					This suggests that T-bet may be enhancing CD4 effector cell function through pathways independent of the direct signaling pathway triggered by the CAR .	PMC6021366	
CAR	Protein				P36575	Other	go:0001772	signal transduction	Biological Process			go	GO:0007165	Other	go:0001772	negative	I	NONE		cellosaurus:CVCL_0092	cl:CL:0000084 ++++ cl:CL:0001063					Disruption of CD58 in tumor cells impaired immunological synapse ( IS ) formation with CAR T cells , which led to the dysfunction of CAR T cells , including attenuated CAR signal transduction , CAR T-cell expansion , and cytotoxicity .	PMC9649996	
CAR	Protein				P36575	Other	sl-0487	signaling pathway	Biological Process			go	GO:0007165	Other	sl-0487	positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0001063					We conclude that TCR hypo-responsiveness of late-stage T cells can be circumvented by a transgenic CAR that triggers the TCR / CD3-zeta down-stream signaling pathway .	PMC3264628	
CAR	Protein				P36575			signaling pathway	Biological Process			go	GO:0007165			positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0000084 ++++ cl:CL:0000738 ++++ cl:CL:0000451					A large body of research has revealed that the exhaustion of CAR T cells can be reversed by blocking the PD-1 / PD-L1 signaling pathway [ 7,8 ] .	PMC9961031	
